group,dataset,dist,model,m,k,train_flag,epoch_num,eval_epochs,ckpt_every,eval_embedding_type,eval_search_mode,config_path
quantized_main,geolife,haus,msr,16,64,geolife_haus_msr_pdtvq_m16_k64_e500_trueadc,500,"400,500",100,both,adc,/data3/menghaotian/Traj_sim/trajectory_specific_VQ/ConvTraj/experiments/formal_sweep_plan/generated_configs/quantized_main/geolife/msr/geolife_haus_msr_pdtvq_m16_k64_e500_trueadc.json
quantized_main,geolife,haus,neutraj,16,64,geolife_haus_neutraj_pdtvq_m16_k64_e500_trueadc,500,"400,500",100,both,adc,/data3/menghaotian/Traj_sim/trajectory_specific_VQ/ConvTraj/experiments/formal_sweep_plan/generated_configs/quantized_main/geolife/neutraj/geolife_haus_neutraj_pdtvq_m16_k64_e500_trueadc.json
quantized_main,geolife,haus,simformer,16,64,geolife_haus_simformer_pdtvq_m16_k64_e500_trueadc,500,"400,500",100,both,adc,/data3/menghaotian/Traj_sim/trajectory_specific_VQ/ConvTraj/experiments/formal_sweep_plan/generated_configs/quantized_main/geolife/simformer/geolife_haus_simformer_pdtvq_m16_k64_e500_trueadc.json
quantized_main,geolife,dtw,msr,16,64,geolife_dtw_msr_pdtvq_m16_k64_e500_trueadc,500,"400,500",100,both,adc,/data3/menghaotian/Traj_sim/trajectory_specific_VQ/ConvTraj/experiments/formal_sweep_plan/generated_configs/quantized_main/geolife/msr/geolife_dtw_msr_pdtvq_m16_k64_e500_trueadc.json
quantized_main,geolife,dtw,neutraj,16,64,geolife_dtw_neutraj_pdtvq_m16_k64_e500_trueadc,500,"400,500",100,both,adc,/data3/menghaotian/Traj_sim/trajectory_specific_VQ/ConvTraj/experiments/formal_sweep_plan/generated_configs/quantized_main/geolife/neutraj/geolife_dtw_neutraj_pdtvq_m16_k64_e500_trueadc.json
quantized_main,geolife,dtw,simformer,16,64,geolife_dtw_simformer_pdtvq_m16_k64_e500_trueadc,500,"400,500",100,both,adc,/data3/menghaotian/Traj_sim/trajectory_specific_VQ/ConvTraj/experiments/formal_sweep_plan/generated_configs/quantized_main/geolife/simformer/geolife_dtw_simformer_pdtvq_m16_k64_e500_trueadc.json
quantized_main,geolife,dfd,msr,16,64,geolife_dfd_msr_pdtvq_m16_k64_e500_trueadc,500,"400,500",100,both,adc,/data3/menghaotian/Traj_sim/trajectory_specific_VQ/ConvTraj/experiments/formal_sweep_plan/generated_configs/quantized_main/geolife/msr/geolife_dfd_msr_pdtvq_m16_k64_e500_trueadc.json
quantized_main,geolife,dfd,neutraj,16,64,geolife_dfd_neutraj_pdtvq_m16_k64_e500_trueadc,500,"400,500",100,both,adc,/data3/menghaotian/Traj_sim/trajectory_specific_VQ/ConvTraj/experiments/formal_sweep_plan/generated_configs/quantized_main/geolife/neutraj/geolife_dfd_neutraj_pdtvq_m16_k64_e500_trueadc.json
quantized_main,geolife,dfd,simformer,16,64,geolife_dfd_simformer_pdtvq_m16_k64_e500_trueadc,500,"400,500",100,both,adc,/data3/menghaotian/Traj_sim/trajectory_specific_VQ/ConvTraj/experiments/formal_sweep_plan/generated_configs/quantized_main/geolife/simformer/geolife_dfd_simformer_pdtvq_m16_k64_e500_trueadc.json
quantized_main,chengdu,haus,msr,16,64,chengdu_haus_msr_pdtvq_m16_k64_e500_trueadc,500,"400,500",100,both,adc,/data3/menghaotian/Traj_sim/trajectory_specific_VQ/ConvTraj/experiments/formal_sweep_plan/generated_configs/quantized_main/chengdu/msr/chengdu_haus_msr_pdtvq_m16_k64_e500_trueadc.json
quantized_main,chengdu,haus,neutraj,16,64,chengdu_haus_neutraj_pdtvq_m16_k64_e500_trueadc,500,"400,500",100,both,adc,/data3/menghaotian/Traj_sim/trajectory_specific_VQ/ConvTraj/experiments/formal_sweep_plan/generated_configs/quantized_main/chengdu/neutraj/chengdu_haus_neutraj_pdtvq_m16_k64_e500_trueadc.json
quantized_main,chengdu,haus,simformer,16,64,chengdu_haus_simformer_pdtvq_m16_k64_e500_trueadc,500,"400,500",100,both,adc,/data3/menghaotian/Traj_sim/trajectory_specific_VQ/ConvTraj/experiments/formal_sweep_plan/generated_configs/quantized_main/chengdu/simformer/chengdu_haus_simformer_pdtvq_m16_k64_e500_trueadc.json
quantized_main,chengdu,dtw,msr,16,64,chengdu_dtw_msr_pdtvq_m16_k64_e500_trueadc,500,"400,500",100,both,adc,/data3/menghaotian/Traj_sim/trajectory_specific_VQ/ConvTraj/experiments/formal_sweep_plan/generated_configs/quantized_main/chengdu/msr/chengdu_dtw_msr_pdtvq_m16_k64_e500_trueadc.json
